last_name,fisa_courts_reform_act,s_1551_iosra,fisa_improvements_act,fisa_transparency_and_modernization_act,surveillance_state_repeal_act,usa_freedom_prior_to_2014-05-18,voted_for_conyers_amash_amendment,voted_for_house_version_of_usa_freedom_act_2014,voted_for_massie_lofgren_amendment_2014,whistleblower_protection_for_ic_employees_contractors,1st_usaf_cloture_vote,straight_reauth,fisa_reform_act,amendment_1449_data_retention,amendment_1450_extend_implementation_to_1yr,amendment_1451_gut_amicus,final_passage_usaf,702_reforms,massie_lofgren_amendment_to_hr2685_defund_702,massie_lofgren_amendment_to_hr4870_no_backdoors
Esty,,,,,,,,X,X,,,,,,,,OK,,GOOD,GOOD
Farenthold,,,,,,X,X,X,X,,,,,,,,OK,X,GOOD,GOOD
Farr,,,,,,X,X,,X,,,,,,,,GOOD,,GOOD,GOOD
Fattah,,,,,,,X,,X,,,,,,,,GOOD,,GOOD,GOOD
Feinstein,,,X,,,,,,,,OK,GOOD,,GOOD,GOOD,GOOD,OK,,,
Fincher,,,,,,,X,X,X,,,,,,,,OK,,BAD,GOOD
Fischer,,,,,,,,,,,BAD,BAD,,BAD,BAD,BAD,BAD,,,
Fitzpatrick,,,,,,X,X,,X,,,,,,,,GOOD,,GOOD,GOOD
Flake,,,,,,,,,,,OK,BAD,,GOOD,BAD,BAD,OK,,,
Fleischmann,,,,,,,X,X,X,,,,,,,,OK,,GOOD,GOOD
Fleming,,,,,,X,X,,X,,,,,,,,GOOD,,GOOD,GOOD
Flores,,,,,,,,X,X,,,,,,,,OK,,BAD,GOOD
Forbes,,,,,,,,X,,,,,,,,,OK,,BAD,BAD
Fortenberry,,,,,,,,X,X,,,,,,,,OK,,GOOD,GOOD
Foster,,,,,,,,,X,,,,,,,,OK,,BAD,GOOD
Foxx,,,,,,,,X,X,,,,,,,,OK,,GOOD,GOOD
Frankel,,,,,,,,X,,,,,,,,,OK,,BAD,BAD
Franken,X,,,,,,,,,,OK,GOOD,,GOOD,GOOD,GOOD,OK,,,
Franks,,,,,,,,X,,,,,,,,,OK,,GOOD,BAD
Frelinghuysen,,,,,,,,X,,,,,,,,,OK,,BAD,BAD
Fudge,,,,,,,X,X,,,,,,,,,OK,,GOOD,
Gabbard,,,,,X,X,X,,X,X,,,,,,,GOOD,X,GOOD,GOOD
Gallego,,,,,,,,X,,,,,,,,,OK,,GOOD,
Garamendi,,,,,,X,X,X,X,,,,,,,,OK,,BAD,GOOD
Gardner,,,,,,X,X,,X,,OK,GOOD,,GOOD,GOOD,GOOD,OK,,,GOOD
Garrett,,,,,,X,X,,X,,,,,,,,GOOD,,BAD,GOOD
Gibbs,,,,,,,,X,X,,,,,,,,OK,,GOOD,GOOD
Gibson,,,,,,X,X,,X,,,,,,,,GOOD,,GOOD,GOOD
Gillibrand,X,,,,,,,,,,OK,GOOD,,GOOD,GOOD,GOOD,OK,,,
Gohmert,,,,,,X,X,,X,,,,,,,,GOOD,X,GOOD,GOOD
Goodlatte,,,,,,X,,X,,,,,,,,,OK,,BAD,BAD
Gosar,,,,,,X,X,,X,,,,,,,,GOOD,X,GOOD,GOOD
Gowdy,,,,,,X,X,X,X,,,,,,,,OK,,,GOOD
Graham,,,,,,,,,,,,,,,,,OK,,BAD,
Graham,,,,,,,,,,,BAD,BAD,,,,,OK,,,
Granger,,,,,,,,X,,,,,,,,,OK,,BAD,BAD
